,store_name,branch,area,tel,address,latitude,longitude,category,review_cnt,big_cate,mean_score,store,user,score,lifestyle,ratio
0,레이어드,,서울중구,,서울특별시 종로구 재동 84-14,37.577763,126.985925,스콘|카페,23,카페,3.869565217,121216,29563,4,커피 한잔의 낭만파,0.920799971
1,에프스토리,,서울양천구,02-2653-6963,서울특별시 양천구 목1동 406-291,37.52544,126.873131,디저트카페|카페,5,카페,4.2,277538,177951,4,커피 한잔의 낭만파,0.920799971
2,가드너스,,경기파주시,010-2086-6311,경기도 파주시 탄현면 법흥리 1652-116,37.789616,126.696104,베이커리|카페,1,카페,3,11872,91402,3,커피 한잔의 낭만파,0.906499982
3,VSANT,,부산사상구,051-326-8080,부산광역시 사상구 엄궁동 651-42,35.123683,128.962448,루프탑|카페,3,카페,5,11324,137899,5,커피 한잔의 낭만파,0.904999971
4,뚜아에모아,,서울마포구,02-322-4840,서울특별시 마포구 서교동 399-13,37.54954,126.918603,브런치카페|프렌치토스트,1,카페,5,116457,177951,5,커피 한잔의 낭만파,0.904999971
5,졸리연남,,서울마포구,02-332-5955,서울특별시 마포구 동교동 113-7,37.560985,126.9264,브런치카페|프렌치토스트,0,카페,4,354566,246612,4,커피 한잔의 낭만파,0.904999971
6,180커피로스터스,,경기성남시분당구,031-284-1180,경기도 성남시 분당구 율동 323-9,37.382561,127.151573,커피|카페,2,카페,3.5,563,321565,3,커피 한잔의 낭만파,0.894400001
7,롱브레드,,경기용인시기흥구,031-8009-0294,경기도 용인시 기흥구 중동 31-5,37.2577,127.16,브런치|샌드위치,6,카페,3.666666667,123707,791637,3,커피 한잔의 낭만파,0.894400001
8,레어마카롱,,서울송파구,070-7717-6809,서울특별시 송파구 송파동 58-4,37.511353,127.108852,마카롱|말차,7,카페,3.571428571,121153,284695,4,커피 한잔의 낭만파,0.894400001
9,망우로30,,서울동대문구,010-3380-2386,서울특별시 동대문구 휘경동 317-60,37.588024,127.056819,카페|스콘,3,카페,4,138140,534410,5,커피 한잔의 낭만파,0.894400001
10,쓰리버즈,,서울영등포구,02-6137-3031,서울특별시 영등포구 여의도동 23,37.524999,126.92531,브런치카페|카페,2,카페,4,258017,71632,4,커피 한잔의 낭만파,0.894400001
